Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,device,dropout,epochs,features,lr,nb_params,reg,loss/train,loss/val
2024-12-16 15:56:34,37.9min,12500f9c6c6b4f929c01692834f36772,Transformer-GAPE-AQSOL,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.5565803462191473,1.2055787086486816
2024-12-16 20:34:15,42.1min,22a71e174e954a6b8e06e389b0638f1e,Transformer-GAPE-PCQM4Mv2,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.656158678516557,1.2101692259311676
2024-12-16 17:13:00,37.8min,0409bcb5294640f09987fd92f47374e0,Transformer-GAPE-PCQM4Mv2,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.6828037900260732,1.2142823576927184
2024-12-16 18:04:42,37.9min,5ad5ac93d032479bbe4e20752e747825,Transformer-GAPE-PCQM4Mv2,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.7018590279017822,1.2178303241729735
2024-12-16 18:55:15,42.7min,5a365b45f44c42d3aa7efe5268acbef7,Transformer-GAPE-AQSOL,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.5897164005267469,1.218611478805542
2024-12-16 18:42:39,,ef5d43d83930444ba28ddaa874fddc6d,Transformer-GAPE-OGBN-Arxiv,LOCAL,aqsol-pe/train.py,jlagesse,RUNNING,100,cuda,0,250,65,0.0002,164705,1e-05,0.8711092094831829,1.2270886182785035
2024-12-16 16:09:51,43.0min,ed93b73f220b47c0b9d35a11ac8127c1,Transformer-GAPE-AQSOL,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.48004033859772016,1.2288062930107118
2024-12-16 15:17:29,9.8min,1e23d8396f1a4ec29c87735f370d7c4a,GAT,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,171681,1e-05,0.8900782571563238,1.2355199575424194
2024-12-16 14:25:08,9.9min,52d16a5a9be548e4a3271fa4240f9bfb,GAT,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,171681,1e-05,0.8866805615304392,1.2363047122955322
2024-12-16 17:36:50,43.2min,644cbec4ad1f4a99bd4f927bc924149d,Transformer-GAPE-PCQM4Mv2,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.6609797787062729,1.2385700345039368
2024-12-16 14:25:12,9.9min,15a056c660a8496aab20d93137eb2710,GAT,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,171681,1e-05,0.9009107698368121,1.2393955945968629
2024-12-16 16:48:23,37.8min,4e6fd8a294f244bfbf72e8a84985b7f1,Transformer-GAPE-AQSOL,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.5853060857404636,1.239543890953064
2024-12-16 17:12:32,11.1min,3ddc8b0bc0ef41f2b8999f905407889e,GAT,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,171681,1e-05,0.9090422972848143,1.2395559787750243
2024-12-16 17:27:03,11.0min,43160b50f0114791b127fdb27394c0ab,GAT,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,171681,1e-05,0.9071130654479884,1.2407485485076903
2024-12-16 14:26:48,11.2min,7bacff0588a14dba84705f1d2822640d,GAT,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,171681,1e-05,0.9139946736866915,1.247391676902771
2024-12-16 17:50:51,37.8min,55f5d7f8b09d4e30aaa982796005c5ca,Transformer-GAPE-OGBN-Arxiv,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.813224858121027,1.2483933091163635
